disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
3601,,,,,,,,,,,3de68baba960e69da445cf822d3dd859081fb34a,2023-10-09T23:02:26.341Z,faafecca-0f76-4fb8-8ffd-b6f46f3b712c
3602,,,,,,,,,,,58566c446fce5cabbd0c3412a6bb3daa4ada1993,2023-10-09T23:02:26.341Z,b74f0dc2-fab5-42b9-acf7-c94df14d85ad
1239,,,,,8225378.98,4219882.47,3961713.95,2023-10-30T00:00:00.000Z,,3887494,dfed7dfecf84e573712bc059929c43c258b3c921,2023-10-30T04:22:46.792Z,95db46bf-62ae-4bd3-9a3e-8f59a503e5f0
1257,,,,,33279674.22,9756691.41,23183628.92,2023-10-30T00:00:00.000Z,,18906913,0c126216ea8df96851a29c28fa2647eaa2737517,2023-10-30T04:22:46.792Z,44ea10ad-9453-4aab-a43b-25a87dd9f541
1260,,,,,9863594,3896685.75,5833055.72,2023-10-30T00:00:00.000Z,,1875688,ff599233a589e49e4c0e8018a365763ec53e8553,2023-10-30T04:22:46.792Z,5ea3bf59-6568-4641-bdb2-47853228ac2e
1261,,,,,5735788.21,2349946.79,3385841.42,2023-10-30T00:00:00.000Z,,1096729,57b1c8d666e2d21108c49636716464a52ad08194,2023-10-30T04:22:46.792Z,ccb3e74b-685b-447a-8c48-af8da8294593
1262,,,,,15377362.84,4437805.23,10793815.08,2023-10-30T00:00:00.000Z,,1494499,559308121fbdbd34a8c3058cf747a3483275a812,2023-10-30T04:22:46.792Z,4f2b4d7f-2686-4c80-9fcb-422eecfdc595
1264,,,,,3033110.28,882780.99,2135164.26,2023-10-30T00:00:00.000Z,,915473,2083cfae64cda220d4417cafa896265f797324d6,2023-10-30T04:22:46.792Z,10350231-b354-4616-9389-db3a4212c010
1265,,,,,6970269.48,2590192.47,4349918.09,2023-10-30T00:00:00.000Z,,1319820,c6e303de0842c2bc5b32ca3591b484e8935552b3,2023-10-30T04:22:46.792Z,09cdc16a-89e2-4550-be46-a61bd01f5a2b
1266,,,,,7265330.4,4572203.46,2603875.52,2023-10-30T00:00:00.000Z,,3634575,f00f4f118a2733e223850d45f197e038862af27a,2023-10-30T04:22:46.792Z,b82d9440-d842-4339-83df-4068e80bd69c
1268,,,,,721979.29,43929.52,655398.71,2023-10-30T00:00:00.000Z,,120352,3b5e5034e4bb597efb7db6e9fb8fa8dade524073,2023-10-30T04:22:46.792Z,532d4cc3-c585-4159-b354-d5b552bd1f5e
1269,,,,,1737569.4,898066.5,810242.78,2023-10-30T00:00:00.000Z,,1037030,c3ed886a5dbe51ac374192eadd6ae10f6f9a5964,2023-10-30T04:22:46.792Z,5a9dd08c-97ce-4ebb-be67-69d16a638e49
1271,,,,,1868757.98,1691960.54,176797.44,2023-10-30T00:00:00.000Z,,495343,183e38ffd158821cad96efa60f0f5114e5249ef9,2023-10-30T04:22:46.792Z,c43d54c0-22a6-46d4-92f2-d4d6f725835a
1272,,,,,40588743.22,29892462.64,10342694.45,2023-10-30T00:00:00.000Z,,12665798,3a29e9a79367052f829a71a8cacd105542c2ce88,2023-10-30T04:22:46.792Z,37ba6b78-1458-4c5e-813c-9f2449b50bb5
1273,,,,,3144097.57,2597610.34,546487.23,2023-10-30T00:00:00.000Z,,1764725,31eec417a4ef0cf47e63515ba27f9a31c155777d,2023-10-30T04:22:46.792Z,9592b553-44fb-4a6d-8ca4-9df11c56c0fd
1274,,,,,1525086.7,1060865.15,587622.94,2023-10-30T00:00:00.000Z,,778869,4d7fda9cf30b40f5afbecc6c8cb76b1bdf6dfb60,2023-10-30T04:22:46.792Z,4100a0e4-169e-432f-b2d7-c63829258b12
1275,,,,,5322523.58,2426827.39,2821849.55,2023-10-30T00:00:00.000Z,,853245,3148e0f0f9bc1d9109122e4e06793a2c26bf1178,2023-10-30T04:22:46.792Z,1e160074-5ecd-4140-9d15-563b716f45b1
1276,,,,,5242416.68,546984.2,4587872.59,2023-10-30T00:00:00.000Z,,1158596,04ff04b2ab70f95e91ea02e291c7b2f83293e265,2023-10-30T04:22:46.792Z,178ca8bd-7ea8-4547-ae4f-8df472fd677e
1277,,,,,8534710.43,1862546.18,6422742.96,2023-10-30T00:00:00.000Z,,2449736,6f9bb3334a6892b6ffb420c8d0c3eaebc45e3d7a,2023-10-30T04:22:46.792Z,8b6fe8e8-61c0-437b-b161-3e005967da55
1278,,,,,501235.42,20563.57,469397.28,2023-10-30T00:00:00.000Z,,113954,6b62261e40b9714596590341a69af7f263a872e3,2023-10-30T04:22:46.792Z,9b2af222-63ef-4c1a-b1e6-c3d463c9e967
1279,,,,,48334834.63,3905669.96,43752362,2023-10-30T00:00:00.000Z,,11742244,030678a2b6935d382b326cf9d0c5d332f1378ccc,2023-10-30T04:22:46.792Z,d36057f0-5b0d-4129-a3bd-8ec0dd5faac9
1280,,,,,801099.77,621063.41,162372.31,2023-10-30T00:00:00.000Z,,1152684,409ae1074d38dd97b6d1037d428d0938649ced1a,2023-10-30T04:22:46.792Z,72ff1a29-740e-40a7-a235-12378974350d
1281,,,,,4736115,429615.84,4190877.14,2023-10-30T00:00:00.000Z,,704930,73932669959c793d2db44554b82be95297f194f2,2023-10-30T04:22:46.792Z,bc85d91b-eefe-4634-a659-fceba6bd313b
1282,,,,,10955690.74,1814403.47,8883933.06,2023-10-30T00:00:00.000Z,,2636499,5f47750a5679eeb6b57c71ed61949337807c1be4,2023-10-30T04:22:46.792Z,34a630d0-a453-4b0d-b910-3839cac8d96c
1283,,,,,11679939.6,3332720.86,8260184.09,2023-10-30T00:00:00.000Z,,2769144,5da35b9da6267052522d8005b3c430ea720c2d95,2023-10-30T04:22:46.792Z,9f8e3fc3-1d6d-41dd-bdfd-302d6d4a727a
1284,,,,,4064691.72,950005.26,3086906.66,2023-10-30T00:00:00.000Z,,641581,ebfe368cb36170776e7d1df6cbbf9a0350dab381,2023-10-30T04:22:46.792Z,5ef37e62-473a-4627-8c7a-35ac9c94ac29
1285,,,,,518798.92,331705.11,182722.6,2023-10-30T00:00:00.000Z,,86350,328de025d4391d21ca2a7aa2a8d534aa0c73df87,2023-10-30T04:22:46.792Z,302fa488-7acb-4017-8491-f7bf616a0079
1286,,,,,2083481.55,147935.45,1935546.1,2023-10-30T00:00:00.000Z,,621569,46dbc2f8dd301ff02ac3be849be789d466db280f,2023-10-30T04:22:46.792Z,00edc7a3-c63b-4a7f-80fa-c78824b03cf2
1267,,,,,,,,,,2167204,1ba476aa5b95b344e79f9ed5c0b1442849ccb5e0,2023-03-18T13:22:12.883Z,0f5ed8dd-d8e5-4328-9155-372206b47182
1287,,,,,3704291.45,2689766.86,906909.42,2023-10-30T00:00:00.000Z,,3182052,f79e67fc5087052ac3f7ec1b71cf3be284c98d04,2023-10-30T04:22:46.792Z,5af13306-4b8e-48fc-b1bd-db689c8feb53
1288,,,,,7734889.99,727111.27,6928401.83,2023-10-30T00:00:00.000Z,,1359545,60f588e3c50a48197e8b62a0b0d9733e8f76c4ec,2023-10-30T04:22:46.792Z,32fd6000-af57-48df-8ef3-1cafcf4cda5a
1270,,,,,,,,,,319783,bb3c5cb8faf9c3e5606bd3f86ff09da517907068,2023-03-18T13:22:12.883Z,df214994-59d2-4075-b52c-894f7f4b358e
1289,,,,,785818.09,84066.71,685083.81,2023-10-30T00:00:00.000Z,,305977,582c5ba45b8e0204ac562802e5f511ad4fb6533f,2023-10-30T04:22:46.792Z,ed133cb2-9489-43a8-bf26-ffb6074201c5
1292,,,,,298105794.06,143602692.89,150485207.39,2023-10-30T00:00:00.000Z,,67665966,a23eab24b6032900c73466663fd4dc35002818db,2023-10-30T04:22:46.792Z,faaf63c9-feea-4314-aada-53685f3973f7
1293,,,,,19890308.77,8206956.08,11605641.68,2023-10-30T00:00:00.000Z,,4034816,0b5bdf711f42c2ee417c17d161143cd109ecf315,2023-10-30T04:22:46.792Z,923decf1-9255-4dd4-96dc-d444c0d5f14c
1294,,,,,10347269.34,4079425.04,5840828.95,2023-10-30T00:00:00.000Z,,4277685,19a6ad8d2a547dc2d9972f9c42b5efbc4eae8660,2023-10-30T04:22:46.792Z,e4183eab-db49-4c6b-b7a0-323b67e9c0aa
1295,,,,,38703382.74,17818465.28,20285139.28,2023-10-30T00:00:00.000Z,,9436261,1a5b0880591b5dc0d02c3fc7800ea148566c040a,2023-10-30T04:22:46.792Z,44c9c142-b190-4c65-86f3-a0a8019746e0
1296,,,,,41182922.07,10759369.68,29436671.56,2023-10-30T00:00:00.000Z,,4413443,620dce88174e26fbde09ff098422127ecf270cca,2023-10-30T04:22:46.792Z,2d55f76f-bf33-41a8-a2e5-d80b34917c3e
1297,,,,,3374929.57,413506.66,2970485.64,2023-10-30T00:00:00.000Z,,831368,a832a1e624812771980a2d14954df6cc75c654e8,2023-10-30T04:22:46.792Z,10c754f1-4033-415d-99c8-659d0c73ba1a
1299,,,,,20544924.45,13046343.17,7178637.83,2023-10-30T00:00:00.000Z,,6074584,87475ee3f5e6a57ac1eeb1ea7cb46f4cd0408efd,2023-10-30T04:22:46.792Z,52fad003-9c65-456f-92de-5af777fa2324
1300,,,,,34309695.49,16704381.41,17070710.07,2023-10-30T00:00:00.000Z,,3599288,6134ae11a01780c65bd427b42f00bbf7795e6a45,2023-10-30T04:22:46.792Z,480a7c8f-917e-4ddb-925d-63564e8ff2b2
1301,,,,,1968329.67,18254.17,1953360.86,2023-10-30T00:00:00.000Z,,7803,f13bef84ab1714f3b8e05347d1fc948a2b543ac0,2023-10-30T04:22:46.792Z,2ea65dab-4b58-45ed-8f56-ad6bd9dc060c
1302,,,,,1875868.51,590763.4,1224126.36,2023-10-30T00:00:00.000Z,,107462,649d55428ba7ade6f4ec7599d9b159437b6a7cfb,2023-10-30T04:22:46.792Z,fe4903ad-8a88-4043-857e-340a3295fe32
1303,,,,,5462529.93,1195275.68,4267254.25,2023-10-30T00:00:00.000Z,,1061424,5b721983376221d79291669f3424b2de1238e3eb,2023-10-30T04:22:46.792Z,7568712a-ac3d-4c3b-b804-9d7313ec64dd
1305,,,,,594693.82,73108.21,521585.61,2023-10-30T00:00:00.000Z,,11345,b49bf13a8b58e11b790114233684886244d0d4e6,2023-10-30T04:22:46.792Z,754b4f3e-9cd6-49d1-954c-813840637bb1
1306,,,,,106261560.28,32644798.12,72246572.61,2023-10-30T00:00:00.000Z,,21423043,f8e9e9457f8c162f6c4721bd822cabd284bc7140,2023-10-30T04:22:46.792Z,b1f52278-811d-4c28-9d70-6e335c106563
1307,,,,,1010652.61,397663.92,612988.69,2023-10-30T00:00:00.000Z,,111961,765d3f6bc7710ddfd91f601828829659829eee1e,2023-10-30T04:22:46.792Z,81fbf8f0-5a21-4e73-bd05-147275f64557
1308,,,,,920741.26,21376.49,880889.25,2023-10-30T00:00:00.000Z,,136145,b0268d359481115615a48e899c6fc8fcb303ad5c,2023-10-30T04:22:46.792Z,7deb481a-11d2-4f1a-997e-1042dfe47591
1309,,,,,4844695.58,1257343.05,1891051.87,2023-10-30T00:00:00.000Z,,1847365,5694856af226a4b5dacf92bf185d079fa09d8b75,2023-10-30T04:22:46.792Z,88104d4a-9096-442d-9e7b-7c6ee6be94a4
1310,,,,,4680340.29,1386231.25,3245139.39,2023-10-30T00:00:00.000Z,,250405,9efce25ba26cc8204578e58d8f813512bfc1e959,2023-10-30T04:22:46.792Z,73441862-e919-4f4f-9491-14f394c83f73
1311,,,,,36909135.59,26066940.79,10849669.36,2023-10-30T00:00:00.000Z,,5289650,17c485664b70f1c42c368557f31c5587a0a4fca6,2023-10-30T04:22:46.792Z,0c473fab-c826-45fa-8e3c-9568c7f41704
1290,,,,,,,,,,200782,fbe5b8caa213cd388e1d7773b121c3c74559a5fb,2023-03-18T13:22:12.883Z,ffca81a5-0830-4f1c-b088-0ff4d5bb8e8a
1291,,,,,,,,,,381636,8f0f0908874eb215f6e3d73799c8e8d2d29da7b3,2023-03-18T13:22:12.883Z,38aea223-c601-4817-a74e-de666d29392a
1312,,,,,27368107.85,20690288.33,6631775.1,2023-10-30T00:00:00.000Z,,3453353,8c122d94f7e35aedc419c032bc7dd3b012d1b427,2023-10-30T04:22:46.792Z,f9ff6d54-bfd9-4733-adbf-1d0f3eb5565c
1241,,,,,,,,,,302741,185f4706b8bee0537badc0126c55da717775e812,2023-10-09T02:24:46.659Z,f91f1449-8cd3-4923-9a60-4f8a8ad78ae7
5470,,,,,,,,,,0,632c31ecf93420da7e44985de106552e90994371,2023-07-25T23:02:30.960Z,7c3f1b5f-90fc-45ae-b2a0-c10969b52fe1
5471,,,,,,,,,,0,84b7241d62b7bf982f1fae0f56d0e4b3b20712bb,2023-07-25T23:02:30.960Z,7c917300-8f0a-4d84-b574-d27e98859baa
1313,,,,,8726361.63,3164581.04,5580429.08,2023-10-30T00:00:00.000Z,,1311471,1f82be3d149117dc99bf2e92d4b3d862b501ed18,2023-10-30T04:22:46.792Z,6a99b393-a961-404d-91c0-0c92ac2a8fef
1314,,,,,2605294.29,1170005.58,1430613.75,2023-10-30T00:00:00.000Z,,405517,4abca62282b851cc5ae7544c6803bc99308f1329,2023-10-30T04:22:46.792Z,dc9fb523-422c-4f80-b5ef-33b2d5e7cc1e
1298,,,,,,,,,,195648,becd78b29db0e564a86dcc166b1b06bfed63acc0,2023-03-18T13:22:12.883Z,59620891-042b-4587-9129-74bd8a151fd1
1315,,,,,2043473.79,1256195.35,847752.31,2023-10-30T00:00:00.000Z,,662973,518680905f737576e6bc33fdce40f2d565843736,2023-10-30T04:22:46.792Z,678a89f2-42bf-443d-ada9-f3fc7dbd497b
1316,,,,,10798817.35,6382892.52,4291133.67,2023-10-30T00:00:00.000Z,,1583458,07438f52c54e4c96afff6ff4d28eaa04b487c45a,2023-10-30T04:22:46.792Z,c81c0e75-8e9f-4dff-ba4f-c5765f29057f
1317,,,,,3394920.15,1502165.83,1892754.32,2023-10-30T00:00:00.000Z,,438084,6cad24595eeea6c4530f72941ee776f8c56ef1a3,2023-10-30T04:22:46.792Z,8280e6e7-73c8-4153-8cfa-2e5eb249e41f
1318,,,,,13588960.08,13193223.02,451699.92,2023-10-30T00:00:00.000Z,,1454376,a1785d0f3e9dead675b21ffd55d6ca6c8de92810,2023-10-30T04:22:46.792Z,6fa8098b-3009-4c62-9b6d-13b6b8097739
1319,,,,,5134082.94,329668.71,4780114.36,2023-10-30T00:00:00.000Z,,1289906,e36ff41fe9934134123e581c14ca899eb62726da,2023-10-30T04:22:46.792Z,a2fb8c1a-eac8-48d6-86a0-58ef6860daa4
1304,,,,,,,,,,10446,eca700838aea4566bc4c5c046cb6fa2aa4f9c5be,2023-03-18T13:22:12.883Z,d0f1709b-70b0-4742-a8db-087a0cf406cb
1320,,,,,2820111.53,245508.68,2514961.75,2023-10-30T00:00:00.000Z,,420140,093fd008b19bb2a3bad5deb2755bbeb195358558,2023-10-30T04:22:46.792Z,2c90c384-ea1f-4bc6-9556-6d3a882e5871
1323,,,,,3773011.29,2434987.46,1282012.04,2023-10-30T00:00:00.000Z,,556864,fd35c43b67cbd5d325b8fd22c3a3fa52577ebf0c,2023-10-30T04:22:46.792Z,27059134-721e-4f2f-9ac3-d5cc7a5340e6
1324,,,,,10907868.92,10902315.84,-40533.34,2023-10-30T00:00:00.000Z,,1613748,d8e0e4289b266e00e34d14553a713e62d3d94b4d,2023-10-30T04:22:46.792Z,cd5dbdc9-25a8-48ae-a983-2298888c6219
1325,,,,,1354522.51,1343225.92,,2023-10-30T00:00:00.000Z,,98973,0ae03507f056de816d70e75a681790dc7c4e73ca,2023-10-30T04:22:46.792Z,84bb15d8-2939-4170-bff0-5f73bbdc9cd2
